Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_address_ID
CA-2020-153318,2020-10-25,2020-10-28,First Class,103
CA-2020-122518,2020-03-04,2020-03-08,Second Class,104
US-2018-102715,2018-04-11,2018-04-13,Second Class,105
US-2021-148768,2021-11-30,2021-12-02,Second Class,106
CA-2021-151218,2021-06-20,2021-06-23,First Class,107
CA-2018-101770,2018-03-31,2018-04-04,Standard Class,108
CA-2021-148810,2021-06-26,2021-07-01,Standard Class,109
CA-2020-165827,2020-11-04,2020-11-09,Standard Class,110
CA-2019-163965,2019-11-20,2019-11-27,Standard Class,111
CA-2018-156244,2018-08-12,2018-08-16,Standard Class,112
CA-2018-110422,2018-01-21,2018-01-23,Second Class,113
CA-2020-169103,2020-03-08,2020-03-13,Standard Class,114
CA-2019-103793,2019-03-26,2019-03-31,Standard Class,115
US-2020-158309,2020-11-26,2020-11-29,First Class,116
CA-2021-148999,2021-01-30,2021-02-04,Standard Class,117
US-2021-146878,2021-09-21,2021-09-27,Standard Class,118
US-2021-152492,2021-07-06,2021-07-06,Same Day,119
CA-2019-105571,2019-11-07,2019-11-11,Standard Class,120
CA-2019-141754,2019-12-20,2019-12-25,Standard Class,121
CA-2020-160598,2020-08-26,2020-08-28,First Class,122
CA-2018-169775,2018-08-29,2018-09-02,Second Class,123
US-2021-133781,2021-06-22,2021-06-23,First Class,124
CA-2021-121314,2021-09-23,2021-09-26,First Class,125
CA-2018-107573,2018-12-12,2018-12-17,Standard Class,126
CA-2019-101868,2019-06-09,2019-06-16,Standard Class,127
CA-2019-147011,2019-06-18,2019-06-22,Standard Class,128
CA-2021-161130,2021-11-03,2021-11-08,Standard Class,129
CA-2019-162761,2019-10-09,2019-10-13,Standard Class,130
CA-2019-136147,2019-11-13,2019-11-18,Standard Class,131
US-2020-135209,2020-12-29,2020-12-31,Second Class,132
US-2018-150574,2018-12-19,2018-12-25,Standard Class,133
CA-2021-112774,2021-09-11,2021-09-12,First Class,134
CA-2020-140928,2020-09-18,2020-09-22,Standard Class,135
CA-2020-134474,2020-01-05,2020-01-07,Second Class,136
CA-2019-153549,2019-03-29,2019-03-31,Second Class,137
CA-2021-117079,2021-10-23,2021-10-27,Standard Class,138
CA-2021-122154,2021-04-09,2021-04-11,First Class,139
CA-2019-100769,2019-05-16,2019-05-16,Same Day,140
US-2021-166611,2021-03-28,2021-04-02,Standard Class,141
CA-2018-151953,2018-09-20,2018-09-25,Standard Class,142
CA-2018-112718,2018-12-16,2018-12-21,Standard Class,143
CA-2018-145317,2018-03-18,2018-03-23,Standard Class,144
US-2019-120572,2019-12-11,2019-12-15,Standard Class,145
CA-2019-155453,2019-08-09,2019-08-14,Standard Class,146
CA-2020-165470,2020-11-25,2020-11-30,Standard Class,147
CA-2021-128699,2021-12-03,2021-12-05,Second Class,148
CA-2021-168102,2021-04-24,2021-04-30,Standard Class,149
CA-2020-152471,2020-07-08,2020-07-08,Same Day,150
CA-2021-123239,2021-07-27,2021-07-31,Second Class,151
CA-2021-107167,2021-06-10,2021-06-14,Standard Class,152
US-2020-165953,2020-12-31,2021-01-06,Standard Class,153
CA-2020-111409,2020-09-18,2020-09-22,Standard Class,154
US-2020-148901,2020-05-14,2020-05-19,Standard Class,155
US-2020-153815,2020-11-06,2020-11-09,First Class,156
CA-2019-142202,2019-09-18,2019-09-23,Second Class,157
CA-2019-134719,2019-10-10,2019-10-15,Standard Class,158
CA-2021-134495,2021-04-01,2021-04-04,Second Class,159
CA-2019-137106,2019-03-31,2019-04-04,Standard Class,160
CA-2021-115070,2021-04-10,2021-04-14,Second Class,161
CA-2021-160017,2021-09-28,2021-10-02,Standard Class,162
CA-2018-169257,2018-06-06,2018-06-12,Standard Class,163
CA-2021-168389,2021-12-11,2021-12-17,Standard Class,164
CA-2021-102204,2021-05-01,2021-05-06,Standard Class,165
CA-2021-103065,2021-10-20,2021-10-20,Same Day,166
CA-2021-159667,2021-11-09,2021-11-13,Standard Class,167
CA-2018-156790,2018-08-08,2018-08-10,Second Class,168
CA-2021-165904,2021-04-07,2021-04-11,Standard Class,169
CA-2018-100293,2018-03-14,2018-03-18,Standard Class,170
CA-2021-113558,2021-10-21,2021-10-26,Standard Class,171
CA-2019-121720,2019-06-11,2019-06-12,First Class,172
CA-2019-155068,2019-10-23,2019-10-23,Same Day,173
CA-2018-103989,2018-03-19,2018-03-21,First Class,174
CA-2018-124618,2018-05-02,2018-05-04,Second Class,175
CA-2020-118073,2020-08-12,2020-08-16,Standard Class,176
CA-2021-146136,2021-09-03,2021-09-07,Standard Class,177
CA-2020-123617,2020-11-28,2020-12-03,Standard Class,178
CA-2018-103317,2018-07-05,2018-07-08,First Class,179
CA-2020-114713,2020-07-07,2020-07-12,Standard Class,180
CA-2018-140165,2018-05-13,2018-05-15,First Class,181
CA-2018-153913,2018-12-16,2018-12-20,Second Class,182
CA-2021-149853,2021-10-03,2021-10-09,Standard Class,183
CA-2019-149300,2019-11-22,2019-11-23,First Class,184
CA-2020-116918,2020-10-01,2020-10-06,Second Class,185
CA-2021-144456,2021-09-08,2021-09-09,First Class,186
CA-2021-105620,2021-12-25,2021-12-28,First Class,187
CA-2020-123533,2020-11-24,2020-11-30,Standard Class,188
CA-2018-127488,2018-09-22,2018-09-24,Second Class,189
CA-2020-133872,2020-06-14,2020-06-17,First Class,190
US-2020-148803,2020-12-11,2020-12-11,Same Day,191
CA-2021-167871,2021-11-18,2021-11-23,Standard Class,192
US-2019-130519,2019-09-15,2019-09-15,Same Day,193
US-2019-112508,2019-03-24,2019-03-30,Standard Class,194
CA-2021-110198,2021-05-01,2021-05-02,First Class,195
CA-2020-144344,2020-10-28,2020-10-28,Same Day,196
CA-2021-124597,2021-04-30,2021-05-05,Standard Class,197
US-2018-167633,2018-09-30,2018-10-05,Standard Class,198
US-2021-117450,2021-09-04,2021-09-08,Standard Class,199
CA-2018-160773,2018-07-01,2018-07-05,Standard Class,200
CA-2021-148166,2021-10-21,2021-10-26,Standard Class,201
CA-2018-116568,2018-12-14,2018-12-20,Standard Class,202
CA-2019-123330,2019-06-21,2019-06-27,Standard Class,203
CA-2021-145310,2021-12-22,2021-12-24,Second Class,204
US-2020-150567,2020-05-17,2020-05-21,Standard Class,205
CA-2020-131968,2020-11-11,2020-11-15,Standard Class,206
CA-2018-131541,2018-07-28,2018-07-28,Same Day,207
US-2021-168690,2021-01-07,2021-01-13,Standard Class,208
CA-2020-118626,2020-08-15,2020-08-20,Standard Class,209
CA-2019-110247,2019-12-04,2019-12-08,Standard Class,210
CA-2020-147368,2020-06-09,2020-06-12,First Class,211
CA-2020-138695,2020-05-28,2020-06-03,Standard Class,212
CA-2021-129021,2021-08-23,2021-08-26,Second Class,213
US-2020-109260,2020-09-26,2020-10-01,Standard Class,214
CA-2021-154088,2021-11-12,2021-11-17,Standard Class,215
CA-2020-105662,2020-05-05,2020-05-09,Standard Class,216
CA-2021-110310,2021-10-27,2021-11-02,Standard Class,217
CA-2021-108322,2021-04-30,2021-05-05,Standard Class,218
CA-2021-156272,2021-03-21,2021-03-27,Standard Class,219
CA-2021-106537,2021-08-12,2021-08-17,Standard Class,220
CA-2019-141145,2019-09-17,2019-09-23,Standard Class,221
CA-2020-113845,2020-11-20,2020-11-25,Standard Class,222
CA-2018-148425,2018-11-30,2018-12-04,Standard Class,223
CA-2021-141614,2021-06-05,2021-06-09,Standard Class,224
CA-2021-100622,2021-11-03,2021-11-07,Standard Class,225
CA-2019-143532,2019-03-19,2019-03-24,Standard Class,226
CA-2018-130918,2018-08-22,2018-08-24,Second Class,227
CA-2019-128083,2019-03-12,2019-03-17,Standard Class,228
CA-2019-113628,2019-11-12,2019-11-19,Standard Class,229
CA-2019-117884,2019-03-22,2019-03-22,Same Day,230
CA-2020-108567,2020-05-20,2020-05-24,Standard Class,231
US-2019-149629,2019-07-17,2019-07-20,Second Class,232
CA-2021-101273,2021-08-27,2021-08-30,Second Class,233
CA-2021-108112,2021-11-15,2021-11-20,Standard Class,234
CA-2021-129490,2021-09-26,2021-09-30,Standard Class,235
CA-2021-104864,2021-11-18,2021-11-23,Second Class,236
CA-2019-111703,2019-07-02,2019-07-09,Standard Class,237
US-2020-142251,2020-10-31,2020-11-04,Second Class,238
CA-2021-142671,2021-11-10,2021-11-14,Second Class,239
CA-2020-116764,2020-08-27,2020-09-02,Standard Class,240
CA-2021-134096,2021-09-24,2021-09-29,Standard Class,241
CA-2019-169733,2019-10-22,2019-10-26,Second Class,242
CA-2018-109043,2018-08-15,2018-08-17,First Class,243
CA-2018-114335,2018-09-28,2018-10-03,Standard Class,244
CA-2019-112375,2019-12-21,2019-12-27,Standard Class,245
CA-2019-122266,2019-04-26,2019-04-30,Standard Class,246
CA-2018-117016,2018-03-04,2018-03-09,Standard Class,247
US-2020-131891,2020-07-29,2020-07-31,First Class,248
US-2021-153633,2021-11-13,2021-11-18,Second Class,249
CA-2018-164749,2018-03-23,2018-03-26,First Class,250
CA-2020-113236,2020-05-26,2020-05-29,Second Class,251
CA-2019-104115,2019-06-12,2019-06-16,Standard Class,252
CA-2019-128958,2019-01-24,2019-01-28,Standard Class,253
CA-2020-160486,2020-12-30,2021-01-04,Standard Class,254
CA-2021-137631,2021-04-28,2021-05-02,Standard Class,255
US-2021-108315,2021-04-30,2021-05-04,Standard Class,256
CA-2020-145709,2020-10-04,2020-10-08,Standard Class,257
CA-2021-114412,2021-04-15,2021-04-20,Standard Class,258
US-2018-130358,2018-06-23,2018-06-26,First Class,259
CA-2020-142895,2020-07-21,2020-07-26,Standard Class,260
CA-2020-133368,2020-01-14,2020-01-20,Standard Class,261
CA-2019-116638,2019-01-28,2019-01-31,Second Class,262
CA-2019-149734,2019-09-03,2019-09-08,Standard Class,263
US-2018-155817,2018-10-03,2018-10-09,Standard Class,264
CA-2019-161445,2019-09-07,2019-09-09,Second Class,265
CA-2019-141327,2019-11-30,2019-12-03,First Class,266
US-2021-115252,2021-10-20,2021-10-25,Standard Class,267
CA-2021-119004,2021-11-23,2021-11-28,Standard Class,268
US-2018-156216,2018-09-13,2018-09-17,Standard Class,269
CA-2020-130001,2020-04-23,2020-04-28,Standard Class,270
CA-2021-114636,2021-08-25,2021-08-29,Standard Class,271
CA-2021-160423,2021-01-21,2021-01-26,Standard Class,272
CA-2021-133235,2021-08-01,2021-08-04,First Class,273
US-2020-168620,2020-12-24,2020-12-28,Second Class,274
CA-2018-117345,2018-08-01,2018-08-05,Standard Class,275
US-2020-164630,2020-01-04,2020-01-09,Standard Class,276
CA-2021-148404,2021-10-07,2021-10-11,Standard Class,277
CA-2018-102673,2018-11-01,2018-11-05,Standard Class,278
CA-2018-127299,2018-09-19,2018-09-24,Standard Class,279
CA-2020-135636,2020-10-08,2020-10-13,Standard Class,280
CA-2021-144498,2021-05-06,2021-05-06,Same Day,281
CA-2020-106950,2020-09-02,2020-09-06,Standard Class,282
CA-2018-142951,2018-10-08,2018-10-08,Same Day,283
CA-2021-108287,2021-12-18,2021-12-20,First Class,284
CA-2021-100902,2021-11-17,2021-11-21,Standard Class,285
CA-2020-162236,2020-11-04,2020-11-06,Second Class,286
CA-2019-148705,2019-03-12,2019-03-18,Standard Class,287
US-2019-158911,2019-07-05,2019-07-11,Standard Class,288
CA-2020-164574,2020-07-29,2020-08-03,Standard Class,289
US-2021-114356,2021-08-20,2021-08-26,Standard Class,290
US-2021-152842,2021-07-16,2021-07-23,Standard Class,291
CA-2021-136826,2021-06-16,2021-06-20,Standard Class,292
CA-2018-155208,2018-04-16,2018-04-20,Standard Class,293
CA-2018-155852,2018-03-03,2018-03-07,Second Class,294
CA-2020-145499,2020-05-30,2020-05-31,First Class,295
CA-2021-162635,2021-10-09,2021-10-10,First Class,296
US-2019-164357,2019-11-25,2019-11-29,Standard Class,297
CA-2021-130834,2021-11-03,2021-11-06,Second Class,298
CA-2021-120894,2021-04-28,2021-05-02,Standard Class,299
CA-2018-152254,2018-06-30,2018-06-30,Same Day,300
US-2020-123750,2020-04-15,2020-04-21,Standard Class,301
US-2021-168116,2021-11-04,2021-11-04,Same Day,302
CA-2021-121818,2021-11-20,2021-11-21,First Class,303
CA-2021-124828,2021-07-03,2021-07-04,First Class,304
US-2021-120390,2021-10-19,2021-10-26,Standard Class,305
CA-2021-142090,2021-11-30,2021-12-07,Standard Class,306
CA-2021-130904,2021-04-11,2021-04-16,Standard Class,307
CA-2020-130820,2020-11-15,2020-11-15,Same Day,308
CA-2018-138527,2018-09-12,2018-09-17,Standard Class,309
CA-2018-121286,2018-11-04,2018-11-08,Second Class,310
CA-2019-150308,2019-12-15,2019-12-20,Standard Class,311
CA-2019-111199,2019-11-13,2019-11-17,Standard Class,312
CA-2021-138779,2021-01-14,2021-01-15,First Class,313
CA-2021-113481,2021-01-02,2021-01-04,First Class,314
CA-2021-101483,2021-07-29,2021-08-01,Second Class,315
CA-2020-155670,2020-08-13,2020-08-17,Second Class,316
CA-2021-163321,2021-08-07,2021-08-11,Second Class,317
US-2020-162677,2020-03-26,2020-03-27,First Class,318
CA-2018-131527,2018-12-01,2018-12-07,Standard Class,319
CA-2019-100888,2019-04-06,2019-04-10,Standard Class,320
CA-2020-156503,2020-10-14,2020-10-20,Standard Class,321
CA-2019-165414,2019-12-21,2019-12-24,First Class,322
US-2019-113327,2019-05-26,2019-05-29,Second Class,323
CA-2021-158883,2021-06-02,2021-06-03,Same Day,324
CA-2020-157364,2020-11-19,2020-11-21,First Class,325
CA-2018-165764,2018-11-03,2018-11-07,Standard Class,326
CA-2019-120621,2019-03-21,2019-03-26,Standard Class,327
CA-2018-137911,2018-10-09,2018-10-15,Standard Class,328
CA-2019-158323,2019-11-30,2019-12-03,First Class,329
US-2021-166233,2021-07-03,2021-07-09,Standard Class,330
CA-2019-138457,2019-09-13,2019-09-17,Standard Class,331
CA-2021-134810,2021-05-09,2021-05-10,First Class,332
CA-2019-108259,2019-11-08,2019-11-15,Standard Class,333
CA-2019-123092,2019-12-03,2019-12-07,Standard Class,334
CA-2021-158407,2021-06-04,2021-06-10,Standard Class,335
CA-2019-131422,2019-11-05,2019-11-09,Standard Class,336
CA-2021-149146,2021-10-12,2021-10-12,Same Day,337
CA-2020-155138,2020-09-08,2020-09-12,Standard Class,338
CA-2021-126914,2021-06-15,2021-06-19,Standard Class,339
CA-2019-102778,2019-11-21,2019-11-24,First Class,340
US-2020-144393,2020-10-28,2020-11-04,Standard Class,341
CA-2020-123414,2020-08-21,2020-08-27,Standard Class,342
CA-2020-113733,2020-12-08,2020-12-12,Standard Class,343
US-2021-134642,2021-02-25,2021-03-01,Standard Class,344
US-2018-115196,2018-09-09,2018-09-13,Standard Class,345
CA-2020-121958,2020-11-13,2020-11-17,Standard Class,346
CA-2020-133123,2020-09-06,2020-09-11,Standard Class,347
CA-2018-125136,2018-09-28,2018-10-03,Standard Class,348
US-2020-135923,2020-01-22,2020-01-28,Standard Class,349
CA-2019-116750,2019-07-05,2019-07-10,Second Class,350
US-2021-135062,2021-08-31,2021-09-04,Second Class,351
CA-2020-154690,2020-08-15,2020-08-17,Second Class,352
CA-2021-167941,2021-11-06,2021-11-09,Second Class,353
US-2020-113649,2020-08-09,2020-08-12,First Class,354
US-2021-149510,2021-12-03,2021-12-10,Standard Class,355
US-2021-126060,2021-04-14,2021-04-18,Standard Class,356
CA-2019-136224,2019-05-31,2019-05-31,Same Day,357
CA-2021-139353,2021-10-28,2021-10-30,Second Class,358
CA-2018-148285,2018-10-27,2018-11-01,Standard Class,359
US-2018-158057,2018-03-22,2018-03-26,Standard Class,360
CA-2021-147760,2021-11-04,2021-11-05,First Class,361
CA-2020-154060,2020-05-02,2020-05-08,Standard Class,362
CA-2020-134516,2020-09-20,2020-09-25,Standard Class,363
CA-2021-165715,2021-12-02,2021-12-08,Standard Class,364
US-2020-150357,2020-10-10,2020-10-14,Standard Class,365
CA-2021-151855,2021-05-27,2021-06-03,Standard Class,366
CA-2019-133396,2019-08-13,2019-08-15,First Class,367
CA-2020-109344,2020-02-08,2020-02-11,Second Class,368
CA-2020-149111,2020-04-17,2020-04-21,Second Class,369
US-2018-117170,2018-09-17,2018-09-24,Standard Class,370
CA-2018-157609,2018-03-16,2018-03-21,Second Class,371
CA-2020-127698,2020-12-01,2020-12-01,Same Day,372
CA-2021-155824,2021-03-10,2021-03-15,Standard Class,373
CA-2019-156328,2019-11-30,2019-12-05,Standard Class,374
CA-2019-110345,2019-03-09,2019-03-11,Second Class,375
US-2020-137295,2020-01-08,2020-01-13,Standard Class,376
CA-2021-115882,2021-09-14,2021-09-17,First Class,377
CA-2019-140718,2019-07-02,2019-07-04,First Class,378
CA-2021-132185,2021-11-27,2021-12-02,Standard Class,379
CA-2018-164910,2018-11-12,2018-11-17,Second Class,380
CA-2021-153654,2021-11-24,2021-11-26,Second Class,381
US-2018-107405,2018-03-21,2018-03-25,Standard Class,382
CA-2021-139493,2021-09-13,2021-09-19,Standard Class,383
US-2020-134761,2020-11-30,2020-11-30,Same Day,384
CA-2021-133928,2021-06-11,2021-06-17,Standard Class,385
CA-2019-125696,2019-10-02,2019-10-06,Standard Class,386
CA-2019-153535,2019-05-20,2019-05-24,Standard Class,387
CA-2020-124254,2020-04-12,2020-04-17,Standard Class,388
CA-2020-130442,2020-12-16,2020-12-19,First Class,389
CA-2020-119823,2020-06-04,2020-06-06,First Class,390
CA-2018-149020,2018-01-10,2018-01-15,Standard Class,391
CA-2019-129098,2019-10-09,2019-10-13,Standard Class,392
CA-2019-115091,2019-10-05,2019-10-09,Standard Class,393
CA-2020-112102,2020-04-12,2020-04-16,Standard Class,394
CA-2020-137043,2020-12-23,2020-12-25,Second Class,395
CA-2020-106894,2020-02-07,2020-02-07,Same Day,396
CA-2019-154746,2019-11-14,2019-11-17,First Class,397
CA-2018-124688,2018-08-27,2018-08-29,First Class,398
CA-2020-142097,2020-10-15,2020-10-20,Standard Class,399
CA-2020-159142,2020-04-04,2020-04-05,First Class,400
CA-2020-113831,2020-05-30,2020-06-03,Standard Class,401
CA-2019-150749,2019-03-29,2019-04-03,Second Class,402
CA-2021-146458,2021-11-19,2021-11-22,Second Class,403
CA-2018-101266,2018-08-27,2018-08-30,Second Class,404
CA-2019-147529,2019-02-07,2019-02-11,Standard Class,405
CA-2020-123946,2020-09-12,2020-09-17,Standard Class,406
CA-2021-122056,2021-06-13,2021-06-17,Standard Class,407
CA-2018-163223,2018-03-21,2018-03-25,Standard Class,408
CA-2020-125843,2020-08-13,2020-08-16,First Class,409
CA-2020-102092,2020-12-09,2020-12-11,First Class,410
CA-2019-163237,2019-08-07,2019-08-09,Second Class,411
CA-2018-100706,2018-12-16,2018-12-18,Second Class,412
CA-2021-169005,2021-11-02,2021-11-06,Standard Class,413
CA-2019-163923,2019-05-30,2019-06-03,Standard Class,414
CA-2021-126774,2021-04-15,2021-04-17,First Class,415
CA-2020-157245,2020-05-19,2020-05-24,Standard Class,416
CA-2019-115847,2019-09-19,2019-09-24,Second Class,417
CA-2020-162901,2020-03-28,2020-03-31,First Class,418
CA-2021-122994,2021-02-06,2021-02-09,First Class,419
US-2020-140809,2020-02-01,2020-02-03,First Class,420
CA-2021-156769,2021-05-06,2021-05-09,First Class,421
CA-2021-130309,2021-12-17,2021-12-21,Standard Class,422
CA-2020-149454,2020-07-25,2020-07-26,First Class,423
CA-2019-134992,2019-09-22,2019-09-26,Second Class,424
CA-2019-153752,2019-12-06,2019-12-11,Second Class,425
CA-2019-133242,2019-06-18,2019-06-24,Standard Class,426
CA-2018-158470,2018-04-19,2018-04-23,Second Class,427
CA-2019-125976,2019-09-27,2019-10-02,Standard Class,428
CA-2020-105753,2020-10-20,2020-10-26,Standard Class,429
CA-2020-166380,2020-05-30,2020-06-03,Standard Class,430
CA-2020-101469,2020-07-02,2020-07-08,Standard Class,431
CA-2020-158841,2020-02-02,2020-02-04,Second Class,432
CA-2018-111934,2018-05-05,2018-05-07,First Class,433
CA-2019-158148,2019-12-20,2019-12-26,Standard Class,434
US-2018-117135,2018-06-21,2018-06-23,Second Class,435
US-2020-108637,2020-03-13,2020-03-18,Standard Class,436
CA-2019-137974,2019-04-16,2019-04-18,First Class,437
CA-2019-115938,2019-06-26,2019-06-30,Standard Class,438
CA-2019-117828,2019-12-23,2019-12-26,First Class,439
US-2020-116400,2020-10-22,2020-10-24,First Class,440
US-2021-136189,2021-12-07,2021-12-11,Standard Class,441
CA-2018-146885,2018-05-30,2018-06-05,Standard Class,442
CA-2021-116939,2021-09-25,2021-09-29,Standard Class,443
CA-2018-138709,2018-07-04,2018-07-09,Standard Class,444
CA-2020-143805,2020-12-01,2020-12-03,Second Class,445
CA-2019-169572,2019-09-06,2019-09-12,Standard Class,446
CA-2018-132010,2018-10-13,2018-10-15,First Class,447
US-2021-152898,2021-09-11,2021-09-15,Standard Class,448
US-2021-135986,2021-06-20,2021-06-27,Standard Class,449
CA-2021-113705,2021-03-27,2021-03-29,Second Class,450
CA-2018-138296,2018-12-05,2018-12-12,Standard Class,451
US-2018-155502,2018-01-26,2018-01-31,Standard Class,452
CA-2020-164735,2020-04-14,2020-04-19,Second Class,453
CA-2018-102988,2018-04-05,2018-04-09,Second Class,454
CA-2021-110926,2021-11-19,2021-11-23,Standard Class,455
CA-2018-117639,2018-05-21,2018-05-25,Standard Class,456
CA-2020-109911,2020-05-12,2020-05-16,Standard Class,457
CA-2019-132318,2019-10-30,2019-11-02,First Class,458
CA-2018-159681,2018-12-07,2018-12-13,Standard Class,459
