Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID
CA-2021-106180,2021-09-18,2021-09-23,Standard Class,SH-19975
CA-2021-155376,2021-12-22,2021-12-27,Standard Class,SG-20080
CA-2019-110744,2019-09-07,2019-09-12,Standard Class,HA-14920
CA-2018-110072,2018-10-22,2018-10-28,Standard Class,MG-17680
CA-2020-114489,2020-12-05,2020-12-09,Standard Class,JE-16165
CA-2020-158834,2020-03-13,2020-03-16,First Class,TW-21025
CA-2019-124919,2019-05-31,2019-06-02,First Class,SP-20650
CA-2019-118948,2019-05-28,2019-06-03,Standard Class,NK-18490
CA-2018-104269,2018-03-01,2018-03-06,Second Class,DB-13060
CA-2020-114104,2020-11-20,2020-11-24,Standard Class,NP-18670
CA-2020-162733,2020-05-11,2020-05-12,First Class,TT-21070
CA-2019-119697,2019-12-28,2019-12-31,Second Class,EM-13960
CA-2020-154508,2020-11-16,2020-11-20,Standard Class,RD-19900
CA-2020-113817,2020-11-07,2020-11-11,Standard Class,MJ-17740
CA-2018-139892,2018-09-08,2018-09-12,Standard Class,BM-11140
CA-2018-118962,2018-08-05,2018-08-09,Standard Class,CS-12130
US-2018-100853,2018-09-14,2018-09-19,Standard Class,JB-15400
US-2021-152366,2021-04-21,2021-04-25,Second Class,SJ-20500
US-2019-101511,2019-11-21,2019-11-23,Second Class,JE-15745
CA-2019-137225,2019-12-15,2019-12-19,Standard Class,JK-15640
CA-2018-166191,2018-12-05,2018-12-09,Second Class,DK-13150
CA-2018-158274,2018-11-19,2018-11-24,Second Class,RM-19675
CA-2020-105018,2020-11-28,2020-12-02,Standard Class,SK-19990
CA-2018-123260,2018-08-26,2018-08-30,Standard Class,FM-14290
CA-2020-157000,2020-07-16,2020-07-22,Standard Class,AM-10360
CA-2019-102281,2019-10-12,2019-10-14,First Class,MP-17470
CA-2019-131457,2019-10-31,2019-11-06,Standard Class,MZ-17515
CA-2018-140004,2018-03-21,2018-03-25,Standard Class,CB-12025
CA-2021-107720,2021-11-06,2021-11-13,Standard Class,VM-21685
US-2021-124303,2021-07-06,2021-07-13,Standard Class,FH-14365
CA-2021-105074,2021-06-24,2021-06-29,Standard Class,MB-17305
CA-2018-133690,2018-08-03,2018-08-05,First Class,BS-11755
US-2021-116701,2021-12-17,2021-12-21,Second Class,LC-17140
CA-2021-126382,2021-06-03,2021-06-07,Standard Class,HK-14890
CA-2021-108329,2021-12-09,2021-12-14,Standard Class,LE-16810
CA-2021-135860,2021-12-01,2021-12-07,Standard Class,JH-15985
CA-2019-101007,2019-02-09,2019-02-13,Second Class,MS-17980
CA-2019-146262,2019-01-02,2019-01-09,Standard Class,VW-21775
CA-2020-130162,2020-10-28,2020-11-01,Standard Class,JH-15910
CA-2019-169397,2019-12-24,2019-12-27,First Class,JB-15925
CA-2019-163055,2019-08-09,2019-08-16,Standard Class,DS-13180
US-2019-145436,2019-02-28,2019-03-04,Standard Class,VD-21670
US-2018-156216,2018-09-13,2018-09-17,Standard Class,EA-14035
US-2021-100930,2021-04-07,2021-04-12,Standard Class,CS-12400
CA-2021-160514,2021-11-12,2021-11-16,Standard Class,DB-13120
CA-2020-157749,2020-06-04,2020-06-09,Second Class,KL-16645
CA-2018-131926,2018-06-01,2018-06-06,Second Class,DW-13480
CA-2020-154739,2020-12-10,2020-12-15,Second Class,LH-17155
CA-2020-145625,2020-09-11,2020-09-17,Standard Class,KC-16540
CA-2020-146941,2020-12-10,2020-12-13,First Class,DL-13315
US-2019-159982,2019-11-28,2019-12-04,Standard Class,DR-12880
CA-2021-163139,2021-12-01,2021-12-03,Second Class,CC-12670
US-2021-155299,2021-06-08,2021-06-12,Standard Class,Dl-13600
US-2018-106992,2018-09-19,2018-09-21,Second Class,SB-20290
CA-2020-125318,2020-06-06,2020-06-13,Standard Class,RC-19825
CA-2019-155040,2019-11-10,2019-11-15,Standard Class,AH-10210
CA-2021-136826,2021-06-16,2021-06-20,Standard Class,CB-12535
CA-2020-111010,2020-01-22,2020-01-28,Standard Class,PG-18895
US-2021-145366,2021-12-09,2021-12-13,Standard Class,CA-12310
CA-2021-163979,2021-12-28,2022-01-02,Second Class,KH-16690
CA-2019-155334,2019-07-30,2019-07-31,First Class,HA-14920
CA-2021-118136,2021-09-16,2021-09-17,First Class,BB-10990
CA-2021-132976,2021-10-13,2021-10-17,Standard Class,AG-10495
US-2019-161991,2019-09-26,2019-09-28,Second Class,SC-20725
CA-2019-130890,2019-11-02,2019-11-06,Standard Class,JO-15280
CA-2019-130883,2019-09-26,2019-10-02,Standard Class,TB-21520
CA-2020-112697,2020-12-18,2020-12-20,Second Class,AH-10195
CA-2020-110772,2020-11-20,2020-11-24,Second Class,NZ-18565
CA-2018-111451,2018-12-26,2018-12-28,First Class,KL-16555
CA-2020-142545,2020-10-28,2020-11-03,Standard Class,JD-15895
US-2021-152380,2021-11-19,2021-11-23,Standard Class,JH-15910
CA-2019-144253,2019-05-04,2019-05-09,Second Class,AS-10225
CA-2018-130960,2018-12-30,2019-01-04,Standard Class,KB-16600
CA-2018-111003,2018-06-01,2018-06-06,Standard Class,CR-12625
CA-2021-126774,2021-04-15,2021-04-17,First Class,SH-20395
CA-2020-142902,2020-09-12,2020-09-14,Second Class,BP-11185
CA-2018-120887,2018-09-27,2018-10-03,Standard Class,TS-21205
CA-2018-167850,2018-08-09,2018-08-16,Standard Class,AG-10525
CA-2018-164259,2018-12-28,2018-12-30,First Class,SP-20860
CA-2018-164973,2018-11-04,2018-11-09,Standard Class,NM-18445
CA-2018-156601,2018-09-19,2018-09-24,Standard Class,FA-14230
CA-2020-162138,2020-04-23,2020-04-27,Standard Class,GK-14620
CA-2021-153339,2021-11-03,2021-11-05,Second Class,DJ-13510
US-2020-141544,2020-08-30,2020-09-01,First Class,PO-18850
US-2020-150147,2020-04-25,2020-04-29,Second Class,JL-15850
CA-2019-137946,2019-09-01,2019-09-04,Second Class,DB-13615
CA-2018-129924,2018-07-12,2018-07-17,Standard Class,AC-10420
CA-2019-128167,2019-06-22,2019-06-26,Second Class,KL-16645
CA-2018-122336,2018-04-13,2018-04-17,Second Class,JD-15895
US-2019-120712,2019-12-20,2019-12-24,Standard Class,CS-12130
CA-2021-169901,2021-06-15,2021-06-19,Standard Class,CC-12550
CA-2021-134306,2021-07-08,2021-07-12,Standard Class,TD-20995
CA-2020-129714,2020-09-01,2020-09-03,First Class,AB-10060
CA-2020-138520,2020-04-08,2020-04-13,Standard Class,JL-15505
CA-2020-130001,2020-04-23,2020-04-28,Standard Class,HK-14890
CA-2021-155698,2021-03-08,2021-03-11,First Class,VB-21745
CA-2021-144904,2021-09-25,2021-10-01,Standard Class,KW-16435
CA-2018-123344,2018-09-24,2018-09-29,Standard Class,JD-16060
CA-2020-155516,2020-10-21,2020-10-21,Same Day,MK-17905
CA-2021-104745,2021-05-29,2021-06-04,Standard Class,GT-14755
US-2018-119137,2018-07-23,2018-07-27,Standard Class,AG-10900
US-2020-134656,2020-09-28,2020-10-01,First Class,MM-18280
US-2021-134481,2021-08-27,2021-09-01,Standard Class,AR-10405
CA-2019-130792,2019-04-28,2019-05-05,Standard Class,RA-19915
CA-2020-134775,2020-10-28,2020-10-29,First Class,AS-10285
CA-2019-125395,2019-06-26,2019-06-29,Second Class,LA-16780
US-2019-168935,2019-11-27,2019-12-02,Standard Class,DO-13435
CA-2019-122756,2019-12-03,2019-12-07,Standard Class,DK-13225
CA-2018-115973,2018-11-24,2018-11-26,First Class,NG-18430
CA-2021-101798,2021-12-11,2021-12-15,Standard Class,MV-18190
US-2018-135972,2018-09-21,2018-09-23,Second Class,JG-15115
US-2018-134971,2018-06-07,2018-06-10,Second Class,BP-11095
CA-2021-102946,2021-06-30,2021-07-05,Standard Class,VP-21730
CA-2021-165603,2021-10-17,2021-10-19,Second Class,SS-20140
CA-2019-122259,2019-10-31,2019-11-04,Standard Class,HP-14815
CA-2020-108987,2020-09-08,2020-09-10,Second Class,AG-10675
CA-2018-113166,2018-12-24,2018-12-26,First Class,LF-17185
CA-2018-155208,2018-04-16,2018-04-20,Standard Class,SP-20650
CA-2021-117933,2021-12-24,2021-12-29,Standard Class,RF-19840
CA-2021-117457,2021-12-08,2021-12-12,Standard Class,KH-16510
CA-2021-142636,2021-11-03,2021-11-07,Standard Class,KC-16675
CA-2021-122105,2021-06-24,2021-06-28,Standard Class,CJ-12010
CA-2020-148796,2020-04-14,2020-04-18,Standard Class,PB-19150
CA-2021-154816,2021-11-06,2021-11-10,Standard Class,VB-21745
CA-2021-110478,2021-03-04,2021-03-09,Standard Class,SP-20860
CA-2018-142048,2018-06-22,2018-06-25,First Class,JE-15745
CA-2021-125388,2021-10-19,2021-10-23,Standard Class,MP-17965
CA-2021-155705,2021-08-21,2021-08-23,Second Class,NF-18385
CA-2021-149160,2021-11-23,2021-11-26,Second Class,JM-15265
CA-2018-101476,2018-09-12,2018-09-13,First Class,SD-20485
CA-2021-152275,2021-10-01,2021-10-08,Standard Class,KH-16630
US-2020-123750,2020-04-15,2020-04-21,Standard Class,RB-19795
CA-2020-127369,2020-06-06,2020-06-07,First Class,DB-13060
US-2018-150574,2018-12-19,2018-12-25,Standard Class,MK-18160
CA-2020-147375,2020-06-12,2020-06-14,Second Class,PO-19180
CA-2021-130043,2021-09-15,2021-09-19,Standard Class,BB-11545
CA-2021-157252,2021-01-20,2021-01-23,Second Class,CV-12805
CA-2020-115756,2020-09-05,2020-09-07,Second Class,PK-19075
CA-2021-154214,2021-03-20,2021-03-25,Second Class,TB-21595
CA-2020-166674,2020-04-01,2020-04-03,Second Class,RB-19360
CA-2021-147277,2021-10-20,2021-10-24,Standard Class,EB-13705
CA-2020-100153,2020-12-13,2020-12-17,Standard Class,KH-16630
US-2018-110674,2018-02-12,2018-02-18,Standard Class,SC-20095
US-2020-157945,2020-09-26,2020-10-01,Standard Class,NF-18385
CA-2019-109638,2019-12-15,2019-12-22,Standard Class,JH-15985
CA-2020-109869,2020-04-22,2020-04-29,Standard Class,TN-21040
US-2019-101399,2019-01-17,2019-01-24,Standard Class,JS-15940
CA-2021-154907,2021-03-31,2021-04-04,Standard Class,DS-13180
US-2020-100419,2020-12-16,2020-12-20,Second Class,CC-12670
CA-2019-154144,2019-12-20,2019-12-24,Standard Class,MH-17785
CA-2018-144666,2018-11-09,2018-11-11,Second Class,JP-15520
CA-2020-103891,2020-07-12,2020-07-19,Standard Class,KH-16690
CA-2020-152632,2020-10-27,2020-11-02,Standard Class,JE-15475
CA-2020-100790,2020-06-26,2020-07-02,Standard Class,JG-15805
CA-2018-134677,2018-10-06,2018-10-10,Standard Class,XP-21865
CA-2018-127691,2018-07-22,2018-07-27,Standard Class,EM-14065
CA-2021-140963,2021-06-10,2021-06-13,First Class,MT-18070
CA-2018-154627,2018-10-29,2018-10-31,First Class,SA-20830
CA-2018-133753,2018-06-09,2018-06-13,Second Class,CW-11905
CA-2018-113362,2018-09-14,2018-09-19,Standard Class,AJ-10960
CA-2020-169166,2020-05-09,2020-05-14,Standard Class,SS-20590
US-2020-120929,2020-03-18,2020-03-21,Second Class,RO-19780
CA-2019-134782,2019-12-27,2019-12-31,Standard Class,MD-17350
CA-2020-126158,2020-07-25,2020-07-31,Standard Class,SC-20095
US-2020-105578,2020-05-30,2020-06-04,Standard Class,MY-17380
CA-2021-134978,2021-11-12,2021-11-15,Second Class,EB-13705
CA-2019-145352,2019-03-16,2019-03-22,Standard Class,CM-12385
CA-2021-135307,2021-11-26,2021-11-27,First Class,LS-17245
CA-2020-106341,2020-10-20,2020-10-23,First Class,LF-17185
CA-2021-163405,2021-12-21,2021-12-25,Standard Class,BN-11515
CA-2021-127432,2021-01-22,2021-01-27,Standard Class,AD-10180
CA-2019-157812,2019-03-22,2019-03-26,Standard Class,DB-13210
CA-2021-145142,2021-01-23,2021-01-25,First Class,MC-17605
US-2020-139486,2020-05-21,2020-05-23,First Class,LH-17155
CA-2019-158792,2019-12-26,2020-01-02,Standard Class,BD-11605
CA-2021-113558,2021-10-21,2021-10-26,Standard Class,PH-18790
US-2019-138303,2019-09-03,2019-09-07,Standard Class,MG-18145
CA-2019-102848,2019-11-07,2019-11-09,Second Class,KB-16240
US-2021-129441,2021-09-07,2021-09-11,Standard Class,JC-15340
CA-2020-168753,2020-05-29,2020-06-01,Second Class,RL-19615
CA-2020-126613,2020-07-10,2020-07-16,Standard Class,AA-10375
US-2021-122637,2021-09-03,2021-09-08,Second Class,EP-13915
CA-2019-147851,2019-12-03,2019-12-08,Standard Class,MP-17470
CA-2019-134894,2019-12-07,2019-12-11,Standard Class,DK-12985
CA-2018-140795,2018-02-01,2018-02-03,First Class,BD-11500
CA-2020-136924,2020-07-14,2020-07-17,First Class,ES-14080
US-2019-120161,2019-12-18,2019-12-23,Standard Class,LM-17065
CA-2018-103849,2018-05-11,2018-05-16,Standard Class,PG-18895
CA-2021-162929,2021-11-19,2021-11-22,First Class,AS-10135
CA-2019-113173,2019-11-15,2019-11-17,Second Class,DK-13225
CA-2020-136406,2020-04-15,2020-04-17,Second Class,BD-11320
CA-2021-112774,2021-09-11,2021-09-12,First Class,RC-19960
CA-2021-101945,2021-11-24,2021-11-28,Standard Class,GT-14710
CA-2021-100650,2021-06-29,2021-07-03,Second Class,DK-13225
CA-2018-155852,2018-03-03,2018-03-07,Second Class,AJ-10945
CA-2020-113243,2020-06-10,2020-06-15,Standard Class,OT-18730
CA-2021-118731,2021-11-20,2021-11-22,Second Class,LP-17080
CA-2018-145576,2018-09-14,2018-09-18,Second Class,CA-12775
CA-2019-130736,2019-12-07,2019-12-09,First Class,JF-15490
CA-2021-137099,2021-12-07,2021-12-10,First Class,FP-14320
CA-2021-156951,2021-10-01,2021-10-08,Standard Class,EB-13840
CA-2021-164826,2021-12-28,2022-01-04,Standard Class,JF-15415
CA-2020-127250,2020-11-03,2020-11-07,Standard Class,SF-20200
CA-2019-149713,2019-09-18,2019-09-22,Second Class,TG-21640
CA-2021-118640,2021-07-20,2021-07-26,Standard Class,CS-11950
CA-2019-132906,2019-09-10,2019-09-14,Standard Class,CC-12145
CA-2021-145233,2021-12-01,2021-12-05,Standard Class,DV-13465
CA-2019-128139,2019-07-03,2019-07-09,Standard Class,BD-11725
US-2020-156986,2020-03-20,2020-03-24,Standard Class,ZC-21910
CA-2018-135405,2018-01-09,2018-01-13,Standard Class,MS-17830
CA-2018-131450,2018-08-08,2018-08-15,Standard Class,LR-16915
CA-2020-120180,2020-07-14,2020-07-16,First Class,TP-21130
US-2020-100720,2020-07-16,2020-07-21,Standard Class,CK-12205
CA-2018-149958,2018-03-15,2018-03-19,Standard Class,AS-10240
US-2018-105767,2018-05-23,2018-05-27,Standard Class,AR-10510
CA-2020-161816,2020-04-28,2020-05-01,First Class,NB-18655
CA-2020-121223,2020-09-11,2020-09-13,Second Class,GD-14590
CA-2021-138611,2021-11-14,2021-11-17,Second Class,CK-12595
CA-2021-117947,2021-08-18,2021-08-23,Second Class,NG-18355
US-2018-111171,2018-12-26,2018-12-31,Standard Class,CA-12265
CA-2019-138009,2019-11-29,2019-12-03,Standard Class,SF-20965
CA-2021-163020,2021-09-15,2021-09-19,Standard Class,MO-17800
CA-2021-153787,2021-05-19,2021-05-23,Standard Class,AT-10735
CA-2021-133431,2021-12-17,2021-12-21,Standard Class,LC-17140
US-2020-135720,2020-12-11,2020-12-13,Second Class,FM-14380
CA-2021-144694,2021-09-24,2021-09-26,Second Class,BD-11605
CA-2019-168004,2019-10-04,2019-10-09,Second Class,DJ-13420
US-2020-123470,2020-08-15,2020-08-21,Standard Class,ME-17725
CA-2020-115917,2020-05-20,2020-05-25,Standard Class,RB-19465
CA-2020-147067,2020-12-18,2020-12-22,Standard Class,JD-16150
CA-2021-167913,2021-07-30,2021-08-03,Second Class,JL-15835
US-2021-127719,2021-07-21,2021-07-25,Standard Class,TW-21025
CA-2021-126221,2021-12-30,2022-01-05,Standard Class,CC-12430
CA-2020-103947,2020-04-01,2020-04-08,Standard Class,BB-10990
CA-2020-160745,2020-12-11,2020-12-16,Second Class,AR-10825
CA-2020-132661,2020-10-23,2020-10-29,Standard Class,SR-20740
CA-2021-140844,2021-06-19,2021-06-23,Standard Class,AR-10405
CA-2020-137239,2020-08-22,2020-08-28,Standard Class,CR-12730
US-2020-156097,2020-09-19,2020-09-19,Same Day,EH-14125
CA-2019-146563,2019-08-24,2019-08-28,Standard Class,CB-12025
CA-2020-123666,2020-03-26,2020-03-30,Standard Class,SP-20545
CA-2020-143308,2020-11-04,2020-11-04,Same Day,RC-19825
CA-2021-132682,2021-06-08,2021-06-10,Second Class,TH-21235
CA-2018-156314,2018-12-24,2018-12-26,First Class,RP-19390
US-2021-106663,2021-06-09,2021-06-13,Standard Class,MO-17800
CA-2021-111178,2021-06-15,2021-06-22,Standard Class,TD-20995
CA-2021-130351,2021-12-05,2021-12-08,First Class,RB-19570
US-2021-119438,2021-03-18,2021-03-23,Standard Class,CD-11980
CA-2020-164511,2020-11-19,2020-11-24,Standard Class,DJ-13630
US-2021-168116,2021-11-04,2021-11-04,Same Day,GT-14635
CA-2018-157784,2018-07-05,2018-07-08,First Class,MC-17845
CA-2021-161480,2021-12-25,2021-12-29,Standard Class,RA-19285
US-2018-117135,2018-06-21,2018-06-23,Second Class,NP-18325
CA-2019-131534,2019-03-28,2019-04-02,Standard Class,AB-10165
CA-2019-119291,2019-05-14,2019-05-17,First Class,JO-15550
CA-2021-114552,2021-09-02,2021-09-08,Standard Class,Dl-13600
CA-2020-163755,2020-11-04,2020-11-08,Second Class,AS-10285
CA-2019-142027,2019-04-09,2019-04-14,Standard Class,JK-15370
CA-2018-138527,2018-09-12,2018-09-17,Standard Class,BN-11470
CA-2018-112158,2018-12-02,2018-12-04,First Class,DP-13165
CA-2018-113887,2018-04-05,2018-04-07,First Class,TH-21550
CA-2021-146136,2021-09-03,2021-09-07,Standard Class,AP-10915
US-2021-100048,2021-05-19,2021-05-24,Standard Class,RS-19765
CA-2018-153150,2018-07-01,2018-07-06,Second Class,Dl-13600
CA-2018-130092,2018-01-11,2018-01-14,First Class,SV-20365
CA-2021-108910,2021-09-24,2021-09-29,Standard Class,KC-16540
CA-2018-104472,2018-06-02,2018-06-07,Standard Class,CK-12325
CA-2020-112942,2020-02-13,2020-02-18,Standard Class,RD-19810
CA-2020-142335,2020-12-15,2020-12-19,Standard Class,MP-17965
CA-2018-117429,2018-10-07,2018-10-13,Standard Class,MR-17545
CA-2020-114713,2020-07-07,2020-07-12,Standard Class,SC-20695
CA-2021-144113,2021-09-16,2021-09-20,Standard Class,JF-15355
US-2020-150861,2020-12-03,2020-12-06,First Class,EG-13900
CA-2021-131954,2021-01-21,2021-01-25,Standard Class,DS-13030
CA-2018-132500,2018-09-08,2018-09-12,Standard Class,GZ-14470
CA-2018-112326,2018-01-04,2018-01-08,Standard Class,PO-19195
US-2020-146710,2020-08-27,2020-09-01,Standard Class,SS-20875
CA-2018-124429,2018-05-27,2018-05-27,Same Day,MH-17785
CA-2020-150889,2020-03-20,2020-03-22,Second Class,PB-19105
CA-2021-126074,2021-10-02,2021-10-06,Standard Class,RF-19735
CA-2020-110499,2020-04-07,2020-04-09,First Class,YC-21895
CA-2019-135272,2019-12-07,2019-12-12,Standard Class,MS-17830
CA-2020-140928,2020-09-18,2020-09-22,Standard Class,NB-18655
CA-2018-106803,2018-12-29,2019-01-02,Standard Class,DC-13285
CA-2021-117240,2021-07-23,2021-07-28,Standard Class,CP-12340
CA-2019-112319,2019-08-31,2019-09-05,Standard Class,AR-10510
CA-2021-126046,2021-11-03,2021-11-07,Standard Class,JC-16105
CA-2019-114923,2019-02-08,2019-02-13,Standard Class,LH-17020
CA-2018-162775,2018-01-13,2018-01-15,Second Class,CS-12250
CA-2018-106810,2018-05-14,2018-05-20,Standard Class,AJ-10795
CA-2020-157245,2020-05-19,2020-05-24,Standard Class,LE-16810
CA-2021-104220,2021-01-30,2021-02-05,Standard Class,BV-11245
CA-2018-165974,2018-06-29,2018-07-06,Standard Class,DL-12865
CA-2019-144267,2019-08-21,2019-08-23,First Class,NZ-18565
US-2019-157014,2019-10-03,2019-10-06,Second Class,BM-11785
CA-2019-154921,2019-05-23,2019-05-28,Standard Class,EA-14035
CA-2021-129567,2021-03-17,2021-03-21,Second Class,CL-12565
CA-2019-154620,2019-12-12,2019-12-16,Standard Class,LT-17110
CA-2019-115938,2019-06-26,2019-06-30,Standard Class,SA-20830
CA-2018-156433,2018-09-20,2018-09-26,Standard Class,ES-14020
CA-2021-151428,2021-09-21,2021-09-26,Standard Class,RH-19495
CA-2019-124653,2019-12-24,2019-12-26,First Class,DB-13120
CA-2019-101910,2019-11-27,2019-12-03,Standard Class,CD-11920
CA-2021-105809,2021-02-20,2021-02-23,First Class,HW-14935
CA-2020-115504,2020-03-12,2020-03-17,Standard Class,MC-18130
CA-2021-135783,2021-04-22,2021-04-24,First Class,GM-14440
CA-2018-134313,2018-11-01,2018-11-07,Standard Class,RA-19915
CA-2019-140921,2019-02-03,2019-02-05,First Class,AA-10375
CA-2018-151995,2018-10-13,2018-10-15,First Class,ZC-21910
CA-2021-143686,2021-05-14,2021-05-14,Same Day,PJ-19015
CA-2019-106565,2019-03-20,2019-03-23,First Class,BW-11110
CA-2020-149370,2020-09-15,2020-09-19,Standard Class,DB-13210
CA-2018-140858,2018-06-28,2018-07-02,Standard Class,CA-12775
CA-2021-101434,2021-06-20,2021-06-27,Standard Class,TR-21325
US-2018-102071,2018-05-09,2018-05-15,Standard Class,PG-18820
CA-2021-126956,2021-08-21,2021-08-28,Standard Class,GT-14710
CA-2021-129462,2021-06-16,2021-06-21,Second Class,JE-15745
CA-2020-165316,2020-07-23,2020-07-27,Standard Class,JB-15400
US-2018-115987,2018-09-08,2018-09-13,Second Class,LH-17020
US-2021-156083,2021-11-04,2021-11-11,Standard Class,JL-15175
US-2020-137547,2020-03-07,2020-03-12,Standard Class,EB-13705
CA-2019-100454,2019-11-20,2019-11-25,Standard Class,BM-11650
CA-2020-161669,2020-11-07,2020-11-09,First Class,EM-14095
CA-2019-114300,2019-10-13,2019-10-17,Standard Class,AF-10885
CA-2021-107503,2021-01-01,2021-01-06,Standard Class,GA-14725
CA-2018-107755,2018-02-07,2018-02-12,Standard Class,CK-12760
CA-2020-152534,2020-06-20,2020-06-25,Second Class,DP-13105
CA-2020-113747,2020-05-28,2020-06-04,Standard Class,VD-21670
CA-2020-123274,2020-02-19,2020-02-24,Standard Class,GT-14710
CA-2018-125612,2018-08-03,2018-08-08,Standard Class,BK-11260
CA-2021-161984,2021-04-10,2021-04-15,Standard Class,SJ-20125
CA-2018-133851,2018-06-09,2018-06-16,Standard Class,CM-12445
CA-2020-134474,2020-01-05,2020-01-07,Second Class,AJ-10795
CA-2018-149020,2018-01-10,2018-01-15,Standard Class,AJ-10780
CA-2020-134362,2020-09-29,2020-10-02,First Class,LS-16945
CA-2018-136742,2018-04-06,2018-04-10,Standard Class,GP-14740
CA-2020-158099,2020-09-03,2020-09-05,First Class,PK-18910
CA-2019-131128,2019-10-19,2019-10-20,First Class,TB-21520
CA-2018-148488,2018-12-10,2018-12-15,Standard Class,SM-20005
CA-2021-114636,2021-08-25,2021-08-29,Standard Class,GA-14725
CA-2020-116736,2020-01-17,2020-01-21,Standard Class,CC-12430
